"DMS_Project"

"Time      "	".A1.Translational_Displacement.Y"	".D1.Translational_Displacement.Y"	".M1.Translational_Displacement.Y"	".O1.Translational_Displacement.Y"	".H7.Translational_Displacement.Y"	".N5.Translational_Displacement.Y"	".C2.Translational_Displacement.Y"	".G2.Translational_Displacement.Y"	".K3.Translational_Displacement.Y"
9.000000e-01	-2.875050e+00	-1.221004e+00	-2.026710e+00	0.000000e+00	-2.000000e-01	-8.000000e-01	-2.260397e+00	-3.189687e-01	-3.208596e+00
9.100000e-01	-2.870089e+00	-1.216213e+00	-2.023613e+00	-9.783729e-12	-2.000000e-01	-8.000000e-01	-2.254964e+00	-3.169250e-01	-3.205038e+00
9.200000e-01	-2.864730e+00	-1.211048e+00	-2.020266e+00	-1.096789e-11	-2.000000e-01	-8.000000e-01	-2.249186e+00	-3.142626e-01	-3.200484e+00
9.300000e-01	-2.858976e+00	-1.205516e+00	-2.016670e+00	-1.207101e-11	-2.000000e-01	-8.000000e-01	-2.243083e+00	-3.109708e-01	-3.194940e+00
9.400000e-01	-2.852831e+00	-1.199623e+00	-2.012827e+00	-1.307265e-11	-2.000000e-01	-8.000000e-01	-2.236672e+00	-3.070416e-01	-3.188410e+00
9.500000e-01	-2.846299e+00	-1.193374e+00	-2.008740e+00	-1.395706e-11	-2.000000e-01	-8.000000e-01	-2.229969e+00	-3.024707e-01	-3.180897e+00
9.600000e-01	-2.839384e+00	-1.186778e+00	-2.004411e+00	-1.471334e-11	-2.000000e-01	-8.000000e-01	-2.222990e+00	-2.972569e-01	-3.172406e+00
9.700000e-01	-2.832089e+00	-1.179839e+00	-1.999841e+00	-1.533329e-11	-2.000000e-01	-8.000000e-01	-2.215747e+00	-2.914023e-01	-3.162938e+00
9.800000e-01	-2.824421e+00	-1.172567e+00	-1.995034e+00	-1.581579e-11	-2.000000e-01	-8.000000e-01	-2.208252e+00	-2.849126e-01	-3.152497e+00
9.900000e-01	-2.816383e+00	-1.164967e+00	-1.989991e+00	-1.616307e-11	-2.000000e-01	-8.000000e-01	-2.200513e+00	-2.777966e-01	-3.141085e+00
1.000000e+00	-2.807980e+00	-1.157048e+00	-1.984716e+00	-1.637757e-11	-2.000000e-01	-8.000000e-01	-2.192539e+00	-2.700660e-01	-3.128704e+00
