"DMS_Project"

"Time      "	".A1.Translational_Displacement.X"	".D1.Translational_Displacement.X"	".M1.Translational_Displacement.X"	".O1.Translational_Displacement.X"	".H7.Translational_Displacement.X"	".N5.Translational_Displacement.X"	".C2.Translational_Displacement.X"	".G2.Translational_Displacement.X"	".K3.Translational_Displacement.X"
4.100000e-01	2.262655e+00	2.004033e+00	1.439584e+00	9.756418e-12	4.000000e-01	1.000000e-01	1.653557e+00	1.994331e+00	2.756158e+00
4.200000e-01	2.246794e+00	1.998023e+00	1.428295e+00	1.018718e-11	4.000000e-01	1.000000e-01	1.647316e+00	1.988557e+00	2.741241e+00
4.300000e-01	2.231072e+00	1.992025e+00	1.417111e+00	1.062905e-11	4.000000e-01	1.000000e-01	1.641840e+00	1.982028e+00	2.726435e+00
4.400000e-01	2.215506e+00	1.986047e+00	1.406044e+00	1.108114e-11	4.000000e-01	1.000000e-01	1.637122e+00	1.974770e+00	2.711740e+00
4.500000e-01	2.200109e+00	1.980096e+00	1.395102e+00	1.153966e-11	4.000000e-01	1.000000e-01	1.633151e+00	1.966807e+00	2.697159e+00
4.600000e-01	2.184896e+00	1.974180e+00	1.384298e+00	1.200062e-11	4.000000e-01	1.000000e-01	1.629919e+00	1.958166e+00	2.682691e+00
4.700000e-01	2.169885e+00	1.968307e+00	1.373641e+00	1.246181e-11	4.000000e-01	1.000000e-01	1.627416e+00	1.948877e+00	2.668339e+00
4.800000e-01	2.155090e+00	1.962485e+00	1.363143e+00	1.291611e-11	4.000000e-01	1.000000e-01	1.625631e+00	1.938968e+00	2.654104e+00
4.900000e-01	2.140528e+00	1.956722e+00	1.352815e+00	1.335998e-11	4.000000e-01	1.000000e-01	1.624553e+00	1.928471e+00	2.639990e+00
5.000000e-01	2.126216e+00	1.951028e+00	1.342669e+00	1.378608e-11	4.000000e-01	1.000000e-01	1.624170e+00	1.917417e+00	2.625999e+00
5.100000e-01	2.112171e+00	1.945410e+00	1.332716e+00	1.418843e-11	4.000000e-01	1.000000e-01	1.624472e+00	1.905839e+00	2.612134e+00
5.200000e-01	2.098409e+00	1.939878e+00	1.322968e+00	1.455858e-11	4.000000e-01	1.000000e-01	1.625445e+00	1.893772e+00	2.598401e+00
5.300000e-01	2.084949e+00	1.934441e+00	1.313438e+00	1.488942e-11	4.000000e-01	1.000000e-01	1.627079e+00	1.881250e+00	2.584802e+00
5.400000e-01	2.071808e+00	1.929108e+00	1.304137e+00	1.517075e-11	4.000000e-01	1.000000e-01	1.629359e+00	1.868308e+00	2.571344e+00
5.500000e-01	2.059003e+00	1.923888e+00	1.295079e+00	1.539435e-11	4.000000e-01	1.000000e-01	1.632272e+00	1.854982e+00	2.558030e+00
5.600000e-01	2.046553e+00	1.918791e+00	1.286274e+00	1.554978e-11	4.000000e-01	1.000000e-01	1.635805e+00	1.841310e+00	2.544868e+00
5.700000e-01	2.034476e+00	1.913826e+00	1.277736e+00	1.562972e-11	4.000000e-01	1.000000e-01	1.639944e+00	1.827328e+00	2.531864e+00
5.800000e-01	2.022790e+00	1.909003e+00	1.269478e+00	1.562306e-11	4.000000e-01	1.000000e-01	1.644673e+00	1.813075e+00	2.519023e+00
5.900000e-01	2.011513e+00	1.904331e+00	1.261510e+00	1.552269e-11	4.000000e-01	1.000000e-01	1.649978e+00	1.798588e+00	2.506352e+00
6.000000e-01	2.000663e+00	1.899820e+00	1.253847e+00	1.531975e-11	4.000000e-01	1.000000e-01	1.655842e+00	1.783906e+00	2.493860e+00
6.100000e-01	1.990256e+00	1.895479e+00	1.246500e+00	1.500955e-11	4.000000e-01	1.000000e-01	1.662249e+00	1.769068e+00	2.481555e+00
6.200000e-01	1.980313e+00	1.891317e+00	1.239481e+00	1.458700e-11	4.000000e-01	1.000000e-01	1.669182e+00	1.754113e+00	2.469445e+00
6.300000e-01	1.970848e+00	1.887344e+00	1.232802e+00	1.405098e-11	4.000000e-01	1.000000e-01	1.676622e+00	1.739080e+00	2.457539e+00
6.400000e-01	1.961879e+00	1.883568e+00	1.226475e+00	1.340150e-11	4.000000e-01	1.000000e-01	1.684550e+00	1.724008e+00	2.445850e+00
